title,company,location,salary,skills,link,source
Associate Content Writer,PitchOnePR,Work from home,"₹ 3,00,000 - 4,00,000","Content Writing, English Proficiency (Written), Written Communication,   ",https://internshala.com/job/detail/remote-associate-content-writer-job-at-pitchonepr1746535218,Internshala
Robotics & STEM Engineer (Teaching Role),ROBO-G,Bangalore,"₹ 3,00,000 - 4,00,000","Arduino, C Programming, Python,",https://internshala.com/job/detail/fresher-robotics-stem-engineer-teaching-role-job-in-bangalore-at-robo-g1746534513,Internshala
Video Editor,Katsam Private Limited,Indore,"₹ 3,00,000 - 4,00,000","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making",https://internshala.com/job/detail/video-editor-job-in-indore-at-katsam-private-limited1746523964,Internshala
Field Sales Specialist,Wroffy Technologies Private Limited,Gurgaon,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken),   ",https://internshala.com/job/detail/field-sales-specialist-job-in-gurgaon-at-wroffy-technologies-private-limited1746512823,Internshala
Junior Social Media Marketing Executive,Focal Venture,Hyderabad,"₹ 3,00,000 - 4,00,000","Creative Writing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing,",https://internshala.com/job/detail/junior-social-media-marketing-executive-job-in-hyderabad-at-mayuri-tanna1746513880,Internshala
Digital Marketing Specialist,ICodejr,Mumbai,"₹ 3,00,000 - 4,00,000","Canva, Digital Marketing, Facebook Ads, Frontend development, Graphic Design, Search Engine Optimization (SEO), Web development, WordPress",https://internshala.com/job/detail/digital-marketing-specialist-job-in-mumbai-at-icodejr1746432270,Internshala
3D Printing Engineer,NANOFUSION,Hyderabad,"₹ 3,00,000 - 4,00,000","MS-Excel, SolidWorks,   ",https://internshala.com/job/detail/fresher-3d-printing-engineer-job-in-hyderabad-at-nanofusion1746277123,Internshala
Content & E-commerce Management Executive,Aesthetic Bodies And Lifestyle Private Limited,Delhi,"₹ 3,00,000 - 4,00,000","Client Relationship Management (CRM), E-commerce, English Proficiency (Spoken), English Proficiency (Written), Inventory Management, MS-Excel",https://internshala.com/job/detail/content-e-commerce-management-executive-job-in-delhi-at-aesthetic-bodies-and-lifestyle-private-limited1746272534,Internshala
PHP Developer,Infiniarc Innovations India PVT LTD,Work from home,"₹ 3,00,000 - 4,00,000","JavaScript, Laravel, PHP,   ",https://internshala.com/job/detail/remote-php-developer-job-at-infiniarc-innovations-india-pvt-ltd1746265296,Internshala
Domestic Operations Executive,Kareerly Solutions (OPC) Private Limited,Mumbai,"₹ 3,00,000 - 4,00,000","Coordination, Negotiation, Vendor Negotiation",https://internshala.com/job/detail/fresher-domestic-operations-executive-job-in-mumbai-at-kareerly-solutions-opc-private-limited1746253351,Internshala
Video Editor,Video Preneur Studios,Bhopal,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Premiere Pro, Creativity, Storytelling, Video Editing, Video Making,   ",https://internshala.com/job/detail/video-editor-job-in-bhopal-at-video-preneur-studios1746119823,Internshala
Field Sales Executive,Paradigm Consultants And Resource Management Private Limited,Kurnool,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), Field Sales, Sales, Sales Management,,, Life Insurance",https://internshala.com/job/detail/part-time-field-sales-executive-job-in-multiple-locations-at-paradigm-consultants-and-resource-management-private-limited1746101732,Internshala
Design Manager,Everything Design,Bangalore,"₹ 3,00,000 - 4,00,000","Design Thinking, Project Management, Time Management, UI & UX Design,,",https://internshala.com/job/detail/fresher-design-manager-job-in-bangalore-at-everything-design1746097584,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1746094614,Internshala
Business Development Manager,Alphawizz Technologies Private Limited,Indore,"₹ 3,00,000 - 4,00,000","B2B Sales, Lead Generation, Sales",https://internshala.com/job/detail/business-development-manager-job-in-indore-at-alphawizz-technologies-private-limited1746016411,Internshala
Civil Engineer,PSR Builders And Developers,Bangalore,"₹ 3,00,000 - 4,00,000","AutoCAD, Bar bending schedule/Schedule of bars, Construction Management, Quality Assurance/Quality Control (QA/QC)",https://internshala.com/job/detail/civil-engineer-job-in-bangalore-at-psr-builders-and-developers1745986479,Internshala
